Condor,,2026-06-13T11:52:03,Batt % (Start),93.86328,Batt % (End),87.35156,MCU Temp (Start),28,MCU Temp (End),38,,,,,,,,,
time (ms), acc_x (m/s^2), acc_y (m/s^2), acc_z (m/s^2), gyro_x (dps), gyro_y (dps), gyro_z (dps), mag_x (μT), mag_y (μT), mag_z (μT), baro_alt (m), gps_alt (m), temp (c), lat (ddmm.mmmm), lon(ddmm.mmmm), est_yaw (deg), est_pitch (deg), est_roll(deg), est_alt (m), est_speed(m/s)
-2119,10.295056,-0.5189694,0.27700818,-0.022052508,-0.0715051,0,-4.6826268,10.205255,3.0249128,0.250885,408.3,32.69127,2827.6,8031.8,1.5477816,-2.0398266,296.82576,2.548288,1.455359
-2097,10.295056,-0.038443564,0.27700818,-0.022052508,-0.0715051,-0.14,-4.6879,10.209292,3.0186144,0.2482605,408.3,32.69603,2827.6,8031.8,1.310471,-1.949791,296.81976,2.5481972,1.4559184
-2075,9.81453,-0.038443564,0.27700818,-0.022052508,-0.0715051,-0.14,-4.7107508,10.207946,3.0217636,0.2482605,408.3,32.69388,2827.6,8031.8,1.1054048,-1.8867284,296.8114,2.5480028,1.4458004
-2053,10.295056,-0.038443564,0.27700818,0.11794749,0.068494888,-0.14,-4.7142664,10.211985,3.034361,0.245605468,408.3,32.69536,2827.6,8031.8,0.95154152,-1.8298658,296.8084,2.5476692,1.4463504
-2031,9.81453,-0.038443564,0.27700818,0.11794749,0.068494888,0,-4.7212972,10.203908,3.0406594,0.23242188,408.3,32.691224,2827.6,8031.8,0.8227974,-1.7938422,296.80624,2.5470514,1.4361658
-2008,10.295056,-0.038443564,0.27700818,0.11794749,0.068494888,0,-4.7107508,10.214676,3.0406594,0.1980896,408.3,32.697816,2827.6,8031.8,0.71251272,-1.751365,296.80072,2.545857,1.4365113
-1986,10.775582,-0.5189694,0.27700818,-0.022052508,0.068494888,0.14,-4.6861424,10.202561,2.99342,0.21920776,408.3,32.700744,2827.6,8031.8,1.0590063,-1.7158478,296.78824,2.5450986,1.4476329
-1964,10.295056,-0.038443564,0.27700818,0.11794749,0.2084949,0.14,-4.6861424,10.201216,3.0186144,0.2112732,408.3,32.693544,2827.6,8031.8,0.9087781,-1.6930252,296.7761,2.5443666,1.4480441
-1942,10.775582,-0.038443564,0.27700818,0.11794749,0.2084949,0.28,-4.7142664,10.19987,3.0375102,0.1980896,408.3,32.70146,2827.6,8031.8,0.79521792,-1.6614611,296.77132,2.5435868,1.459078
-1919,10.295056,-0.038443564,0.27700818,-0.022052508,0.068494888,0.14,-4.701962,10.193139,3.034361,0.21392822,408.3,32.69301,2827.6,8031.8,0.69591332,-1.644435,296.76136,2.5431638,1.4595063
-1897,10.775582,-0.5189694,0.27700818,-0.022052508,0.068494888,0.14,-4.7212972,10.19987,3.046958,0.22714234,408.3,32.718338,2827.6,8031.8,1.0518756,-1.6177754,296.76772,2.5430574,1.4706726
-1875,9.81453,-0.038443564,0.27700818,-0.022052508,-0.0715051,0.14,-4.7072352,10.19987,3.0532568,0.2218628,408.3,32.683014,2827.6,8031.8,0.9070219,-1.6152315,296.76496,2.5428896,1.4604594
-1853,10.295056,-0.5189694,0.27700818,-0.022052508,-0.0715051,0,-4.6826268,10.201216,3.0186144,0.205993652,408.3,32.67839,2827.6,8031.8,1.2668887,-1.6058852,296.76086,2.542396,1.4608556
-1831,10.295056,-0.038443564,-0.20351768,0.11794749,-0.0715051,-0.14,-4.684385,10.205255,3.0249128,0.195434576,408.3,32.68239,2827.6,8031.8,1.0958005,-1.1674232,296.7528,2.5417708,1.4612074
-1808,10.295056,-0.5189694,-0.20351768,0.11794749,-0.21150508,-0.28,-4.7195396,10.21333,3.097347,0.1980896,408.3,32.680696,2827.6,8031.8,1.401338,-0.7596868,296.7649,2.5411988,1.4615737
-1786,9.81453,-0.038443564,0.27700818,-0.022052508,-0.21150508,-0.14,-4.7037196,10.210638,3.0217636,0.15582276,408.3,32.69925,2827.6,8031.8,1.201796,-0.9163676,296.72816,2.5399358,1.451078
-1764,10.295056,-0.038443564,-0.20351768,-0.022052508,-0.21150508,-0.14,-4.7248124,10.207946,3.0595552,0.18753052,408.3,32.691756,2827.6,8031.8,1.030124,-0.5641268,296.71152,2.53902,1.4514068
-1742,10.295056,-0.038443564,0.27700818,0.11794749,-0.21150508,-0.14,-4.7037196,10.1985232,3.0721526,0.15847778,408.3,32.692916,2827.6,8031.8,0.87933816,-0.7488022,296.691,2.537719,1.4516114
-1719,9.81453,0.4420823,0.27700818,-0.022052508,-0.0715051,0,-4.701962,10.205255,3.046958,0.14788818,408.3,32.697096,2827.6,8031.8,0.34015576,-0.8929805,296.6605,2.5361758,1.441097
-1697,10.295056,-0.5189694,0.27700818,0.11794749,-0.0715051,0.28,-4.684385,10.21333,3.0312114,0.12942505,408.3,32.697616,2827.6,8031.8,0.7733322,-1.0115949,296.6406,2.534283,1.4411869
-1675,10.295056,-0.038443564,0.27700818,0.11794749,0.068494888,0.28,-4.708993,10.207946,3.015465,0.1373291,408.3,32.6931,2827.6,8031.8,0.6846811,-1.1175717,296.6151,2.5325286,1.4413201
-1653,10.295056,-0.5189694,0.27700818,0.11794749,0.068494888,0.28,-4.701962,10.202561,3.075302,0.13998413,408.3,32.69368,2827.6,8031.8,1.0715455,-1.1917382,296.62634,2.530839,1.4414726
-1631,10.775582,-0.5189694,0.27700818,0.11794749,0.2084949,0.28,-4.731844,10.207946,3.0595552,0.15319824,408.3,32.696184,2827.6,8031.8,1.3839228,-1.246923,296.63624,2.5294774,1.4523687
-1608,10.295056,-0.5189694,0.757534,-0.022052508,0.068494888,0.14,-4.696689,10.194485,3.0595552,0.13204956,408.3,32.697236,2827.6,8031.8,1.628848,-1.72451,296.648,2.5279618,1.4524987
-1586,10.295056,-0.5189694,0.27700818,0.11794749,0.2084949,0,-4.6826268,10.176987,3.0501074,0.15319824,408.3,32.682052,2827.6,8031.8,1.84572452,-1.68686332,296.67908,2.526765,1.4527286
-1564,10.775582,-0.5189694,0.27700818,0.11794749,0.2084949,-0.14,-4.6896576,10.193139,3.0627046,0.16903686,408.3,32.699584,2827.6,8031.8,2.001378,-1.6420434,296.71082,2.525928,1.4637115
-1542,10.295056,-0.038443564,0.27700818,-0.022052508,0.068494888,-0.14,-4.7142664,10.19987,3.015465,0.17166138,408.3,32.69243,2827.6,8031.8,1.6809154,-1.6239284,296.70554,2.5252632,1.4640309
-1519,10.295056,-0.5189694,0.27700818,-0.022052508,-0.0715051,-0.28,-4.696689,10.209292,3.034361,0.184875484,408.3,32.707628,2827.6,8031.8,1.8979906,-1.603854,296.7174,2.5247994,1.4644114
-1497,10.295056,-0.038443564,-0.20351768,-0.022052508,-0.21150508,-0.28,-4.723055,10.19987,3.0312114,0.19281006,408.3,32.70175,2827.6,8031.8,1.6203382,-1.1565932,296.7169,2.5244608,1.464829
-1475,10.295056,-0.038443564,0.27700818,-0.022052508,-0.21150508,-0.14,-4.716024,10.201216,3.0847496,0.1980896,408.3,32.692628,2827.6,8031.8,1.364411,-1.216649,296.72046,2.5242098,1.4652712
-1453,10.295056,-0.038443564,0.27700818,-0.022052508,-0.21150508,-0.14,-4.6861424,10.197178,3.0091662,0.200714116,408.3,32.69171,2827.6,8031.8,1.1610911,-1.2782172,296.6952,2.5240084,1.4657262
